Handle,Score,Rank,Last Submission Time,Language,Example Tests,Submissions
chokudai,795760.05,1,04.26.2017 16:45:24,C++,38,42
wleite,793041.22,2,04.25.2017 23:02:05,Java,33,35
blackmath,792818.73,3,04.26.2017 20:46:05,C++,20,10
Psyho,792336.34,4,04.26.2017 18:56:09,C++,22,11
atsT5515,791565.82,5,04.26.2017 12:05:50,C++,8,8
tomerun,790914.54,6,04.26.2017 12:53:01,C++,37,11
nhzp339,790733.86,7,04.26.2017 16:14:15,C++,5,6
CatalinT,789702.07,8,04.26.2017 20:56:53,C++,9,38
hoshi524,789380.36,9,04.26.2017 12:33:39,C++,17,10
mugurelionut,788593.97,10,04.26.2017 16:57:33,C++,45,27
*Taiyo..,788444.43,11,04.26.2017 18:10:39,C++,38,19
starwand,788194.82,12,04.26.2017 20:02:42,C++,19,22
ika,785441.73,13,04.26.2017 20:56:53,C++,4,10
gorbunov,784633.41,14,04.25.2017 04:44:25,C++,11,9
EvbCFfp1XB,784329.22,15,04.26.2017 15:06:43,Java,10,11
ainu7,776646.57,16,04.26.2017 13:02:36,C++,17,11
AAAAAnt,776566.38,17,04.26.2017 16:30:58,C++,13,16
*Daiver19,771677.60,18,04.26.2017 18:56:40,C++,40,18
marek.cygan,771372.01,19,04.23.2017 12:06:09,C++,21,18
Stonefeang,767329.27,20,04.26.2017 19:15:52,C++,44,29
niwatori_,767307.63,21,04.26.2017 14:12:39,C++,10,8
eldidou,765886.62,22,04.23.2017 14:30:16,C++,4,5
hakomo,764524.75,23,04.26.2017 18:58:41,C++,1,3
tsukasa_diary,764027.24,24,04.26.2017 07:09:44,C++,37,19
Slevin,763679.57,25,04.26.2017 13:37:19,C++,16,13
kurenai3110,760227.81,26,04.25.2017 23:57:37,C++,49,26
Masa-Y,757221.07,27,04.26.2017 17:58:48,C++,149,47
nika,756349.50,28,04.26.2017 09:00:26,C++,4,8
*therubiksman,742689.34,29,04.26.2017 12:52:09,Java,1,6
jlahd,735436.89,30,04.25.2017 04:38:22,C++,1,3
suikkee,732534.10,31,04.26.2017 12:17:43,C++,12,13
fetetriste,724788.62,32,04.25.2017 15:08:33,Java,3,3
*Krzysan,719058.78,33,04.24.2017 17:10:01,C++,1,4
iwashi31,718619.74,34,04.26.2017 11:02:14,C++,21,22
*goldfinch,714636.71,35,04.26.2017 20:56:39,Java,0,1
aidy1991,710752.86,36,04.18.2017 02:33:21,C++,3,1
wd28,701500.24,37,04.22.2017 16:40:58,Java,3,21
*koyumeishi,689418.48,38,04.26.2017 14:25:10,C++,3,3
iehn,686632.48,39,04.26.2017 20:51:58,C++,49,46
*ymks7397,670587.45,40,04.26.2017 12:33:44,Java,31,25
tubo28,666716.88,41,04.21.2017 10:43:54,C++,7,3
Mojito1,665935.46,42,04.26.2017 18:39:51,C#,15,4
hiromi_ayase,658812.39,43,04.16.2017 13:41:51,Java,6,5
NobuMiu,642785.27,44,04.26.2017 20:58:23,C++,4,5
mnbvmar,636578.03,45,04.15.2017 13:59:46,C++,4,3
rng_58,618611.42,46,04.26.2017 15:56:21,C++,4,3
kuuso1,610606.52,47,04.26.2017 13:08:15,C#,22,14
PaulJefferys,603856.41,48,04.25.2017 11:28:09,C++,7,4
MIPT_Alex,579549.61,49,04.26.2017 20:54:23,C#,4,3
